2025-05-02 15:35:34,686 INFO    MainThread:6229 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_setup.py:_flush():68] Configure stats pid to 6229
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_setup.py:_flush():68] Loading settings from /home/tiowang/.config/wandb/settings
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_setup.py:_flush():68] Loading settings from /scratch/students/2025-spring-mt-tiowang/inr/inr_exps/wandb/settings
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /scratch/students/2025-spring-mt-tiowang/inr/inr_exps/wandb/run-20250502_153534-arqujwlh/logs/debug.log
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /scratch/students/2025-spring-mt-tiowang/inr/inr_exps/wandb/run-20250502_153534-arqujwlh/logs/debug-internal.log
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:init():852] calling init triggers
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'epochs': 20000, '_wandb': {}}
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:init():893] starting backend
2025-05-02 15:35:34,687 INFO    MainThread:6229 [wandb_init.py:init():897] sending inform_init request
2025-05-02 15:35:34,693 INFO    MainThread:6229 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-02 15:35:34,693 INFO    MainThread:6229 [wandb_init.py:init():907] backend started and connected
2025-05-02 15:35:34,694 INFO    MainThread:6229 [wandb_init.py:init():1002] updated telemetry
2025-05-02 15:35:34,713 INFO    MainThread:6229 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-05-02 15:35:35,316 INFO    MainThread:6229 [wandb_init.py:init():1101] starting run threads in backend
2025-05-02 15:35:35,550 INFO    MainThread:6229 [wandb_run.py:_console_start():2566] atexit reg
2025-05-02 15:35:35,551 INFO    MainThread:6229 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-05-02 15:35:35,551 INFO    MainThread:6229 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-05-02 15:35:35,551 INFO    MainThread:6229 [wandb_run.py:_redirect():2506] Redirects installed.
2025-05-02 15:35:35,553 INFO    MainThread:6229 [wandb_init.py:init():1147] run started, returning control to user process
2025-05-02 15:35:36,850 INFO    MsgRouterThr:6229 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
